kind,identifier,name,source,license,url,description,chromosome
Anatomy,UBERON:0001969,blood plasma,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001969,,
Anatomy,UBERON:0001585,anterior vena cava,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001585,,
Anatomy,UBERON:0002392,nasolacrimal duct,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002392,,
Anatomy,UBERON:0001064,ventral pancreatic duct,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001064,,
Anatomy,UBERON:0002413,cervical vertebra,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002413,,
Anatomy,UBERON:0002501,oval window,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002501,,
Anatomy,UBERON:0001707,nasal cavity,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001707,,
Anatomy,UBERON:0000995,uterus,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0000995,,
Anatomy,UBERON:0002134,tricuspid valve,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002134,,
Anatomy,UBERON:0004769,diaphysis,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0004769,,
Anatomy,UBERON:0002299,alveolus of lung,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002299,,
Anatomy,UBERON:0001773,sclera,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001773,,
Anatomy,UBERON:0001677,sphenoid bone,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001677,,
Anatomy,UBERON:0002354,purkinje fiber,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002354,,
Anatomy,UBERON:0001598,temporalis muscle,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001598,,
Anatomy,UBERON:0001771,pupil,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001771,,
Anatomy,UBERON:0002103,hindlimb,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002103,,
Anatomy,UBERON:0001296,myometrium,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001296,,
Anatomy,UBERON:0001530,common carotid artery plus branches,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001530,,
Anatomy,UBERON:0002226,basilar membrane of cochlea,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002226,,
Anatomy,UBERON:0001532,internal carotid artery,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001532,,
Anatomy,UBERON:0001132,parathyroid gland,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001132,,
Anatomy,UBERON:0001365,sacro-iliac joint,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001365,,
Anatomy,UBERON:0002387,pes,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002387,,
Anatomy,UBERON:0002410,autonomic nervous system,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002410,,
Anatomy,UBERON:0001624,anterior cerebral artery,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001624,,
Anatomy,UBERON:0001000,vas deferens,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001000,,
Anatomy,UBERON:0001037,strand of hair,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001037,,
Anatomy,UBERON:0001896,medulla oblongata,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001896,,
Anatomy,UBERON:0001679,ethmoid bone,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001679,,
Anatomy,UBERON:0001968,semen,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001968,,
Anatomy,UBERON:0001322,sciatic nerve,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001322,,
Anatomy,UBERON:0001750,lacrimal apparatus,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001750,,
Anatomy,UBERON:0001832,sublingual gland,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001832,,
Anatomy,UBERON:0001288,loop of Henle,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001288,,
Anatomy,UBERON:0004535,cardiovascular system,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0004535,,
Anatomy,UBERON:0002368,endocrine gland,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002368,,
Anatomy,UBERON:0001492,radial nerve,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001492,,
Anatomy,UBERON:0000013,sympathetic nervous system,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0000013,,
Anatomy,UBERON:0000978,leg,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0000978,,
Anatomy,UBERON:0001600,tensor tympani,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001600,,
